Date,Closed PnL,Size USD,Execution Price,classification,value
2023-05-01,0.0,477.0,1898.1333333333332,Greed,63
2023-12-05,0.0,50005.83,11038.3,Extreme Greed,75
2023-12-14,-205.43473700000007,113203.35,8031.868818181818,Greed,72
2023-12-15,-24.632033999999997,10609.95,2.982,Greed,70
2023-12-16,0.0,15348.77,0.3847066666666667,Greed,67
2023-12-17,304.982785,116278.02,802.5418592857143,Greed,73
2023-12-18,0.0,31164.179999999997,2178.1000000000004,Greed,65
2023-12-19,1000.5386120000001,91602.41,447.8019113333333,Greed,73
2023-12-20,162.732282,141636.79,6.722871666666666,Greed,74
2023-12-21,537.211402,125233.97,91.84020408163265,Greed,70
2023-12-22,141.832675,88874.28,30692.8325,Greed,74
2023-12-23,146.936704,78438.25,3.0702846153846153,Greed,70
2023-12-24,1008.619956,402954.94,13680.54118025641,Greed,71
2023-12-25,-245.081348,59948.51,2275.4,Greed,73
2023-12-27,-704.8892269999999,171411.06,0.37319214285714286,Greed,73
2023-12-28,-970.730876,100117.25,0.4032943478260869,Greed,73
2023-12-29,508.92214299999995,569559.72,3836.17816,Greed,65
2023-12-30,354.998648,702550.21,13421.615271153847,Greed,68
2024-01-01,-129.53146,264239.52999999997,10373.330666666667,Greed,65
2024-01-02,783.979116,121348.74,10199.892598764705,Greed,71
2024-01-03,866.015507,394499.36,738.8837898507463,Greed,70
2024-01-04,-67.60364,99792.54000000001,2212.62,Greed,68
2024-01-05,164.141565,1703942.66,30495.46818181818,Greed,72
2024-01-06,135.58166400000002,298521.4,6586.107318181818,Greed,70
2024-01-07,-835.681235,1048850.06,7513.911021649485,Greed,71
2024-01-08,-269.874439,1522452.43,15078.63093734375,Greed,71
2024-01-09,-826.349863,870051.97,14127.109546714286,Extreme Greed,76
2024-01-10,-1517.091342,2057479.48,12914.76879230052,Greed,73
2024-01-11,-164.08950099999998,305314.1,12141.70542857143,Extreme Greed,76
2024-01-12,-1925.519024,200082.27,39774.47142857143,Greed,71
2024-01-15,152.85358,50636.1,16738.085714285717,Neutral,52
2024-01-16,-2299.171458,116427.33,19105.61008888889,Greed,64
2024-01-17,813.2741110000001,800831.03,20112.302,Greed,60
2024-01-18,68.93319,424631.52999999997,24363.11304347826,Greed,63
